detail_id,detail_name,detail_name_norm
6836,정치외교학과),정치외교학과
6837,정치외교학부,정치외교학부
6838,정치외교학부(외교학전공),정치외교학부외교학전공
6839,정치외교학부(정치학전공),정치외교학부정치학전공
6840,정치외교학전공,정치외교학전공
6841,정치학전공,정치학전공
6842,정치행정학과,정치행정학과
6843,정치행정학부,정치행정학부
6844,정치행정학부 정치외교학,정치행정학부정치외교학
6845,정치행정학전공,정치행정학전공
6846,제과산업특화과,제과산업특화과
6847,제과제빵과,제과제빵과
6848,제과제빵과(3년제),제과제빵과3년제
6849,제과제빵과(호텔조리ᆞ제과학부),제과제빵과호텔조리제과학부
6850,제과제빵바리스타전공,제과제빵바리스타전공
6851,제과제빵전공,제과제빵전공
6852,제과제빵전공(호텔조리제과제빵학과),제과제빵전공호텔조리제과제빵학과
6853,제과제빵창업전공,제과제빵창업전공
6854,제과제빵카페과,제과제빵카페과
6855,제과제빵커피과,제과제빵커피과
6856,제과제빵커피전공,제과제빵커피전공
6857,제과제빵커피전공(호텔조리・제과학부),제과제빵커피전공호텔조리제과학부
6858,제과제빵학과,제과제빵학과
6859,제과제빵학과(1년제),제과제빵학과1년제
6860,제과제빵학부,제과제빵학부
6861,제약・화장품학과,제약화장품학과
6862,제약공학과,제약공학과
6863,제약공학전공,제약공학전공
6864,제약바이오메디컬공학전공,제약바이오메디컬공학전공
6865,제약바이오전공,제약바이오전공
6866,제약바이오학과,제약바이오학과
6867,제약생명공학과,제약생명공학과
6868,제약화장품학과,제약화장품학과
6869,제어계측공학과,제어계측공학과
6870,제어계측공학전공,제어계측공학전공
6871,제어공학전공,제어공학전공
6872,제어로봇공학과,제어로봇공학과
6873,제어및로봇전공,제어및로봇전공
6874,제지공학과,제지공학과
6875,제지공학전공,제지공학전공
6876,제철산업계열,제철산업계열
6877,제철산업과,제철산업과
6878,제철산업기계과,제철산업기계과
6879,제철산업학부,제철산업학부
6880,제철신소재계열,제철신소재계열
6881,제품공간디자인전공,제품공간디자인전공
6882,제품디자인공학과,제품디자인공학과
6883,제품디자인공학전공,제품디자인공학전공
6884,제품디자인과,제품디자인과
6885,제품디자인전공,제품디자인전공
6886,제품디자인학과,제품디자인학과
6887,제품생활디자인전공,제품생활디자인전공
6888,제품인터랙션디자인전공,제품인터랙션디자인전공
6889,조각학과,조각학과
6890,조경ᆞ정원디자인학과,조경정원디자인학과
6891,조경・정원디자인학부,조경정원디자인학부
6892,조경・지역시스템공학부,조경지역시스템공학부
6893,조경・화훼디자인학과,조경화훼디자인학과
6894,조경과,조경과
6895,조경도시학과,조경도시학과
6896,조경산림학과,조경산림학과
6897,조경전공,조경전공
6898,조경학과,조경학과
6899,조경학전공,조경학전공
6900,조경학전공),조경학전공
6901,조기취업형계약학부 스마트경영공학과,조기취업형계약학부스마트경영공학과
6902,조기취업형계약학부 스마트전력인프라학과,조기취업형계약학부스마트전력인프라학과
6903,조기취업형계약학부 스마트팩토리융합학과,조기취업형계약학부스마트팩토리융합학과
6904,조기취업형계약학부 스마트푸드테크학과,조기취업형계약학부스마트푸드테크학과
6905,조리&푸드디자인학과,조리푸드디자인학과
6906,조리・서비스경영학과,조리서비스경영학과
6907,조리경영전공,조리경영전공
6908,조리과학과,조리과학과
6909,조리마이스터과,조리마이스터과
6910,조리부사관과,조리부사관과
6911,조리부사관과(자연과학),조리부사관과자연과학
6912,조리사관과,조리사관과
6913,조리사관학과,조리사관학과
6914,조리산업학과,조리산업학과
6915,조리서비스경영전공,조리서비스경영전공
6916,조리예술학부,조리예술학부
6917,조리외식경영학과,조리외식경영학과
6918,조리외식경영학전공,조리외식경영학전공
6919,조리전공,조리전공
6920,조리제과제빵과,조리제과제빵과
6921,조리제과제빵음료전공,조리제과제빵음료전공
6922,조리제과제빵학부,조리제과제빵학부
6923,조리제빵과,조리제빵과
6924,조리학과,조리학과
6925,조선·해양공학과,조선해양공학과
6926,조선공학과,조선공학과
6927,조선기계공학과,조선기계공학과
6928,조선기술전공,조선기술전공
6929,조선기술전공(조선해양공학과),조선기술전공조선해양공학과
6930,조선기자재공학전공,조선기자재공학전공
6931,조선설계과,조선설계과
6932,조선설계기술과,조선설계기술과
6933,조선시스템학과,조선시스템학과
6934,조선플랜트과,조선플랜트과
6935,조선학과,조선학과
6936,조선해양공학과,조선해양공학과
6937,조선해양공학과(조선해양생산트랙),조선해양공학과조선해양생산트랙
6938,조선해양공학과(조선해양설계트랙),조선해양공학과조선해양설계트랙
6939,조선해양공학전공,조선해양공학전공
6940,조선해양과,조선해양과
6941,조선해양산업공학과,조선해양산업공학과
6942,조선해양시스템공학과,조선해양시스템공학과
6943,조선해양시스템공학부,조선해양시스템공학부
6944,조선해양시스템공학전공,조선해양시스템공학전공
6945,조선해양플랜트공학과,조선해양플랜트공학과
6946,조소,조소
6947,조소과,조소과
6948,조소전공,조소전공
6949,조소전공(신),조소전공신
6950,조형미술전공,조형미술전공
6951,조형예술・디자인학과,조형예술디자인학과
6952,조형예술과,조형예술과
6953,조형예술대학,조형예술대학
6954,조형예술이론전공),조형예술이론전공
6955,조형예술학과,조형예술학과
6956,조형예술학부,조형예술학부
6957,조형학과,조형학과
6958,조형학부,조형학부
6959,종교문화재학과,종교문화재학과
6960,종교문화학,종교문화학
6961,종교문화학과,종교문화학과
6962,종교문화학부,종교문화학부
6963,종교문화학전공,종교문화학전공
6964,종교학과,종교학과
6965,종이소재과학전공,종이소재과학전공
6966,주거・가족복지전공,주거가족복지전공
6967,주얼리ᆞ패션디자인학과,주얼리패션디자인학과
6968,주얼리・금속디자인학과,주얼리금속디자인학과
6969,주얼리디자인과,주얼리디자인과
6970,주얼리디자인비즈니스학과,주얼리디자인비즈니스학과
6971,주얼리디자인전공,주얼리디자인전공
6972,주얼리디자인학과,주얼리디자인학과
6973,주얼리디자인학전공,주얼리디자인학전공
6974,준오헤어디자인과,준오헤어디자인과
6975,준오헤어스타일과,준오헤어스타일과
6976,준오헤어시그니처과,준오헤어시그니처과
6977,줄기세포재생공학과,줄기세포재생공학과
6978,중국,중국
6979,중국·일본학부,중국일본학부
6980,중국경제무역학과,중국경제무역학과
6981,중국경제통상학과,중국경제통상학과
6982,중국경제통상학전공,중국경제통상학전공
6983,중국문학전공,중국문학전공
6984,중국문화ᆞ비즈니스학과,중국문화비즈니스학과
6985,중국문화관광학과,중국문화관광학과
6986,중국문화산업학과,중국문화산업학과
6987,중국문화학과,중국문화학과
6988,중국비즈니스과,중국비즈니스과
6989,중국비즈니스전공,중국비즈니스전공
6990,중국비즈니스학과,중국비즈니스학과
6991,중국비지니스과,중국비지니스과
6992,중국어・중국학전공,중국어중국학전공
6993,중국어과,중국어과
6994,중국어교육과,중국어교육과
6995,중국어교육전공,중국어교육전공
